HR,SpO2
91.0,92.0
90.0,92.0
92.0,92.0
91.0,92.0
93.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
92.0,92.0
89.0,92.0
90.0,92.0
90.0,92.0
90.0,92.0
90.0,93.0
90.0,93.0
90.0,93.0
88.0,92.0
90.0,92.0
90.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
91.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
91.0,93.0
91.0,93.0
92.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
90.0,93.0
91.0,93.0
90.0,92.0
90.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
90.0,93.0
90.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
91.0,93.0
90.0,93.0
90.0,93.0
92.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
89.0,93.0
89.0,93.0
89.0,93.0
89.0,92.0
89.0,92.0
91.0,92.0
89.0,92.0
89.0,92.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
90.0,93.0
89.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
91.0,93.0
93.0,93.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
91.0,92.0
